mode,query,rep,time_seconds
rpt,q1.1,1,0.015622
rpt,q1.1,2,0.015002
rpt,q1.1,3,0.015016
rpt,q1.1,4,0.014886
rpt,q1.1,5,0.015127
rpt,q1.2,1,0.014921
rpt,q1.2,2,0.015186
rpt,q1.2,3,0.015373
rpt,q1.2,4,0.015185
rpt,q1.2,5,0.014909
rpt,q1.3,1,0.014688
rpt,q1.3,2,0.014851
rpt,q1.3,3,0.015463
rpt,q1.3,4,0.015466
rpt,q1.3,5,0.015176
rpt,q1.1,1,0.014581
rpt,q1.1,2,0.013996
rpt,q1.1,3,0.013919
rpt,q1.1,4,0.013847
rpt,q1.1,5,0.013749
rpt,q1.2,1,0.014447
rpt,q1.2,2,0.014569
rpt,q1.2,3,0.014735
rpt,q1.2,4,0.014604
rpt,q1.2,5,0.014100
rpt,q1.3,1,0.014561
rpt,q1.3,2,0.014671
rpt,q1.3,3,0.014629
rpt,q1.3,4,0.015021
rpt,q1.3,5,0.014939
rpt,q2.1,1,0.014655
rpt,q2.1,2,0.014696
rpt,q2.1,3,0.015074
rpt,q2.1,4,0.015136
rpt,q2.1,5,0.014956
rpt,q2.2,1,0.014824
rpt,q2.2,2,0.014708
rpt,q2.2,3,0.014596
rpt,q2.2,4,0.015096
rpt,q2.2,5,0.015156
rpt,q2.3,1,0.016648
rpt,q2.3,2,0.016071
rpt,q2.3,3,0.015127
rpt,q2.3,4,0.014962
rpt,q2.3,5,0.015107
rpt,q3.1,1,0.015900
rpt,q3.1,2,0.015424
rpt,q3.1,3,0.015409
rpt,q3.1,4,0.015428
rpt,q3.1,5,0.015595
rpt,q3.2,1,0.015362
rpt,q3.2,2,0.015108
rpt,q3.2,3,0.015679
rpt,q3.2,4,0.015287
rpt,q3.2,5,0.015140
rpt,q3.3,1,0.015471
rpt,q3.3,2,0.015549
rpt,q3.3,3,0.015573
rpt,q3.3,4,0.015900
rpt,q3.3,5,0.016106
rpt,q3.4,1,0.015957
rpt,q3.4,2,0.015964
rpt,q3.4,3,0.015485
rpt,q3.4,4,0.015602
rpt,q3.4,5,0.015643
rpt,q4.1,1,0.017068
rpt,q4.1,2,0.016878
rpt,q4.1,3,0.016253
rpt,q4.1,4,0.018212
rpt,q4.1,5,0.018159
rpt,q4.2,1,0.016868
rpt,q4.2,2,0.017023
rpt,q4.2,3,0.016408
rpt,q4.2,4,0.016641
rpt,q4.2,5,0.016810
rpt,q4.3,1,0.017042
rpt,q4.3,2,0.016980
rpt,q4.3,3,0.016701
rpt,q4.3,4,0.016423
rpt,q4.3,5,0.016686
