mode,query,rep,time_seconds
baseline,q1.1,1,0.316753
baseline,q1.1,2,0.309851
baseline,q1.1,3,0.313056
baseline,q1.1,4,0.312984
baseline,q1.1,5,0.312130
baseline,q1.2,1,0.304663
baseline,q1.2,2,0.303979
baseline,q1.2,3,0.304638
baseline,q1.2,4,0.307186
baseline,q1.2,5,0.308464
baseline,q1.3,1,0.302271
baseline,q1.3,2,0.303243
baseline,q1.3,3,0.303023
baseline,q1.3,4,0.303704
baseline,q1.3,5,0.303542
baseline,q2.1,1,0.472847
baseline,q2.1,2,0.462288
baseline,q2.1,3,0.466830
baseline,q2.1,4,0.474361
baseline,q2.1,5,0.451997
baseline,q2.2,1,0.581583
baseline,q2.2,2,0.471884
baseline,q2.2,3,0.470892
baseline,q2.2,4,0.570050
baseline,q2.2,5,0.486850
baseline,q2.3,1,0.560221
baseline,q2.3,2,0.345775
baseline,q2.3,3,0.555685
baseline,q2.3,4,0.519951
baseline,q2.3,5,0.558945
baseline,q3.1,1,0.520927
baseline,q3.1,2,0.599366
baseline,q3.1,3,0.570884
baseline,q3.1,4,0.754252
baseline,q3.1,5,0.568789
baseline,q3.2,1,0.360133
baseline,q3.2,2,0.410881
baseline,q3.2,3,0.381579
baseline,q3.2,4,0.385721
baseline,q3.2,5,0.356141
baseline,q3.3,1,0.467577
baseline,q3.3,2,0.308051
baseline,q3.3,3,0.473709
baseline,q3.3,4,0.471714
baseline,q3.3,5,0.306170
baseline,q3.4,1,0.291722
baseline,q3.4,2,0.306671
baseline,q3.4,3,0.291458
baseline,q3.4,4,0.307998
baseline,q3.4,5,0.308754
baseline,q4.1,1,0.703522
baseline,q4.1,2,0.976904
baseline,q4.1,3,0.841801
baseline,q4.1,4,1.110388
baseline,q4.1,5,0.877833
baseline,q4.2,1,0.731478
baseline,q4.2,2,0.680918
baseline,q4.2,3,0.899339
baseline,q4.2,4,0.607653
baseline,q4.2,5,0.616256
baseline,q4.3,1,0.538800
baseline,q4.3,2,0.545687
baseline,q4.3,3,0.549416
baseline,q4.3,4,0.507352
baseline,q4.3,5,0.562758
