mode,query,step,step_name,row_count
baseline,q1.1,1,date_filtered,64
baseline,q1.1,2,lineorder_filtered,64
baseline,q1.1,3,join1,64
baseline,q2.1,1,date_all,64
baseline,q2.1,2,part_filtered,64
baseline,q2.1,3,supplier_filtered,64
baseline,q2.1,4,lineorder_all,64
baseline,q2.1,5,join_date,64
baseline,q2.1,6,join_date_part,64
baseline,q2.1,7,join_final,64
baseline,q3.1,1,customer_filtered,64
baseline,q3.1,2,supplier_filtered,64
baseline,q3.1,3,date_filtered,64
baseline,q3.1,4,lineorder_all,64
baseline,q3.1,5,join_customer,64
baseline,q3.1,6,join_supplier,64
baseline,q3.1,7,join_final,64
baseline,q4.1,1,customer_filtered,64
baseline,q4.1,2,supplier_filtered,64
baseline,q4.1,3,part_filtered,64
baseline,q4.1,4,date_all,64
baseline,q4.1,5,lineorder_all,64
baseline,q4.1,6,join_customer,64
baseline,q4.1,7,join_supplier,64
baseline,q4.1,8,join_part,64
baseline,q4.1,9,join_final,64
