mode,query,rep,peak_memory_bytes,peak_memory_mb,status
rpt,q1.1,1,358875136,342.25,success
rpt,q1.1,2,358875136,342.25,success
rpt,q1.1,3,358744064,342.12,success
rpt,q1.2,1,350093312,333.88,success
rpt,q1.2,2,350093312,333.88,success
rpt,q1.2,3,350355456,334.12,success
rpt,q1.3,1,349437952,333.25,success
rpt,q1.3,2,348913664,332.75,success
rpt,q1.3,3,349044736,332.88,success
rpt,q2.1,1,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 9:         GROUP BY D_YEAR, P_BRAND1
                                 ^
Command exit"
rpt,q2.1,2,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 9:         GROUP BY D_YEAR, P_BRAND1
                                 ^
Command exit"
rpt,q2.1,3,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 9:         GROUP BY D_YEAR, P_BRAND1
                                 ^
Command exit"
rpt,q2.2,1,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 7:           AND P_BRAND1 BETWEEN 'MFGR#2221' AND 'MFGR#2228'
          AND S_REGION"
rpt,q2.2,2,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 7:           AND P_BRAND1 BETWEEN 'MFGR#2221' AND 'MFGR#2228'
          AND S_REGION"
rpt,q2.2,3,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 7:           AND P_BRAND1 BETWEEN 'MFGR#2221' AND 'MFGR#2228'
          AND S_REGION"
rpt,q2.3,1,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 7:           AND P_BRAND1 = 'MFGR#2221'
                      ^
Command exited with "
rpt,q2.3,2,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 7:           AND P_BRAND1 = 'MFGR#2221'
                      ^
Command exited with "
rpt,q2.3,3,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 7:           AND P_BRAND1 = 'MFGR#2221'
                      ^
Command exited with "
rpt,q3.1,1,427819008,408.00,success
rpt,q3.1,2,428736512,408.88,success
rpt,q3.1,3,428474368,408.62,success
rpt,q3.2,1,394133504,375.88,success
rpt,q3.2,2,394264576,376.00,success
rpt,q3.2,3,394002432,375.75,success
rpt,q3.3,1,390856704,372.75,success
rpt,q3.3,2,390332416,372.25,success
rpt,q3.3,3,390987776,372.88,success
rpt,q3.4,1,387842048,369.88,success
rpt,q3.4,2,388366336,370.38,success
rpt,q3.4,3,387842048,369.88,success
rpt,q4.1,1,574881792,548.25,success
rpt,q4.1,2,575406080,548.75,success
rpt,q4.1,3,574750720,548.12,success
rpt,q4.2,1,560201728,534.25,success
rpt,q4.2,2,559939584,534.00,success
rpt,q4.2,3,560332800,534.38,success
rpt,q4.3,1,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 13:         GROUP BY D_YEAR, S_CITY, P_BRAND1
                                      "
rpt,q4.3,2,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 13:         GROUP BY D_YEAR, S_CITY, P_BRAND1
                                      "
rpt,q4.3,3,-1,-1,"error: Error: Binder Error: Referenced column ""P_BRAND1"" not found in FROM clause!
Candidate bindings: ""part.P_BRAND""
LINE 13:         GROUP BY D_YEAR, S_CITY, P_BRAND1
                                      "
